permission,protection_level,orginal
android.permission.PERSISTENT_ACTIVITY,dangerous
android.permission.KILL_BACKGROUND_PROCESSES,normal
android.permission.EXPAND_STATUS_BAR,normal
android.permission.CHANGE_CONFIGURATION,dangerous
android.permission.CHANGE_WIMAX_STATE,dangerous
android.permission.SET_WALLPAPER_COMPONENT,signatureOrSystem
android.permission.ASEC_DESTROY,signature
android.permission.READ_SYNC_SETTINGS,normal
android.permission.SET_TIME_ZONE,dangerous
android.permission.RECEIVE_BOOT_COMPLETED,normal
com.android.launcher.permission.INSTALL_SHORTCUT,normal
android.permission.REMOVE_TASKS,signature
android.permission.SYSTEM_ALERT_WINDOW,dangerous
android.permission.WRITE_SETTINGS,dangerous
com.android.launcher.permission.WRITE_SETTINGS,signatureOrSystem
android.permission.SET_WALLPAPER,normal
android.permission.NET_ADMIN,signature
android.permission.BROADCAST_PACKAGE_REMOVED,signature
android.permission.INTERNAL_SYSTEM_WINDOW,signature
android.permission.MOVE_PACKAGE,signatureOrSystem
android.permission.READ_INPUT_STATE,signature
android.permission.REBOOT,signatureOrSystem
android.permission.STATUS_BAR,signatureOrSystem
android.permission.ACCESS_DOWNLOAD_MANAGER_ADVANCED,signatureOrSystem
android.permission.STOP_APP_SWITCHES,signatureOrSystem
android.permission.BIND_VPN_SERVICE,signature
android.permission.MANAGE_APP_TOKENS,signature
android.permission.SET_KEYBOARD_LAYOUT,signature
android.permission.BIND_PACKAGE_VERIFIER,signature
android.permission.BATTERY_STATS,normal
android.permission.COPY_PROTECTED_DATA,signature
com.android.email.permission.ACCESS_PROVIDER,signature
android.permission.MASTER_CLEAR,signatureOrSystem
android.permission.MODIFY_NETWORK_ACCOUNTING,signatureOrSystem
android.permission.READ_NETWORK_USAGE_HISTORY,signatureOrSystem
android.permission.INJECT_EVENTS,signature
android.permission.INSTALL_LOCATION_PROVIDER,signatureOrSystem
android.permission.UPDATE_LOCK,signatureOrSystem
android.permission.CONFIRM_FULL_BACKUP,signature
android.permission.PACKAGE_USAGE_STATS,signatureOrSystem
android.permission.ACCESS_SURFACE_FLINGER,signature
android.permission.PACKAGE_VERIFICATION_AGENT,signatureOrSystem
android.intent.category.MASTER_CLEAR.permission.C2D_MESSAGE,signature
android.permission.ALLOW_ANY_CODEC_FOR_PLAYBACK,signatureOrSystem
android.permission.BIND_TEXT_SERVICE,signature
android.permission.GRANT_REVOKE_PERMISSIONS,signature
android.permission.READ_FRAME_BUFFER,signatureOrSystem
android.permission.FORCE_BACK,signature
android.permission.UPDATE_DEVICE_STATS,signatureOrSystem
android.permission.SET_ORIENTATION,signature
android.permission.FACTORY_TEST,signature
android.permission.BIND_DEVICE_ADMIN,signature
android.permission.CLEAR_APP_USER_DATA,signature
android.permission.SHUTDOWN,signatureOrSystem
android.permission.BIND_INPUT_METHOD,signature
android.permission.BIND_ACCESSIBILITY_SERVICE,signature
android.permission.ACCESS_DRM,signature
android.permission.DOWNLOAD_CACHE_NON_PURGEABLE,signatureOrSystem
android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS,signature
android.permission.SERIAL_PORT,signatureOrSystem
android.permission.ACCESS_CHECKIN_PROPERTIES,signatureOrSystem
android.permission.CRYPT_KEEPER,signatureOrSystem
android.permission.DEVICE_POWER,signature
android.permission.DELETE_PACKAGES,signatureOrSystem
android.permission.ACCESS_CACHE_FILESYSTEM,signatureOrSystem
android.permission.ACCESS_ALL_DOWNLOADS,signature
android.permission.CONTROL_LOCATION_UPDATES,signatureOrSystem
android.permission.ACCESS_DOWNLOAD_MANAGER,signatureOrSystem
android.permission.DELETE_CACHE_FILES,signatureOrSystem
android.permission.INSTALL_DRM,normal
android.permission.SET_ACTIVITY_WATCHER,signature
android.permission.BRICK,signature
